region,region,hemi,func_grad,x.mni,y.mni,z.mni,region,hemi,thickness,O2_metab,Glucose_metab,fcgradient01,fcgradient02,D1,D2,DAT,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,a4b2,M1,VAChT,GABA,NMDA,mGluR,NET,H3,CB1,MOR
G Ins lg and S cent ins,LT,left,2,-36.46,-7.484,-0.058,G_Ins_lg_and_S_cent_ins',left,3.0926995,4757.543,5165.936,-3.5588298,-1.4398563,20.88962,2.201993324,36.15564,52.760357,0.870955165,41.32196,2.1538305,0.6044939,9.309482,9.655754,4.3672915,2.666855323,748.0058,8.797562,0.585370602,0.064197786,23.066202,1.4939146,32.677326
G Ins lg and S cent ins,RT,right,2,37.305,-4.064,-3.656,G_Ins_lg_and_S_cent_ins',right,3.2479117,4904.0513,5503.9316,-3.5520942,-1.435014,23.898243,2.139075746,39.513233,54.2293,1.177811708,39.535255,2.0978334,0.5424439,8.946224,9.984543,4.769578,2.332991785,720.4695,8.411192,1.146838195,0.093733154,25.878616,1.5513572,34.43892
G and S cingul-Ant,LL,left,1,-10.877,39.073,8.334,G_and_S_cingul-Ant',left,2.929918,4990.796,6302.584,4.051031,-0.22263825,21.162983,1.109449071,30.589882,36.697113,0.650816006,40.6396,1.1410539,0.5529602,2.7449524,10.48905,4.1403017,0.617475413,516.4201,7.7203946,1.600401289,0.040287368,26.792065,1.4768895,39.48128
G and S cingul-Ant,RL,right,1,11.187,38.601,8.006,G_and_S_cingul-Ant',right,3.020378,4953.337,6264.1367,4.3034015,-0.17138746,21.064358,1.065529052,30.896156,36.768143,0.584412832,34.399437,0.8032254,0.5111576,1.8384062,10.472557,3.9606616,0.319831873,336.91623,7.9680266,1.473549906,0.048905358,25.468952,1.463685,39.68006
G and S cingul-Mid-Ant,LL,left,2,-10.191,13.856,35.766,G_and_S_cingul-Mid-Ant',left,2.8991895,5080.632,6249.0664,-2.1450648,-0.7917397,18.5338,0.981203589,30.72296,30.944578,0.227489919,38.762527,1.0101421,0.4548178,2.7012463,11.174664,3.8481715,2.076993464,409.52972,7.783226,1.19683353,0.097791865,25.215242,1.4294208,37.31795
G and S cingul-Mid-Ant,RL,right,2,10.39,14.795,36.112,G_and_S_cingul-Mid-Ant',right,2.9625096,5083.4287,6348.807,-1.9883826,-0.7399264,18.058868,0.940294714,30.33735,31.392345,0.258078918,32.90037,0.8067457,0.40210122,2.2061074,11.184127,3.7759204,1.736312327,343.7874,7.7076225,1.017225192,0.10116681,25.328531,1.4002229,37.659718
G and S cingul-Mid-Post,LL,left,2,-10.189,-11.567,39.832,G_and_S_cingul-Mid-Post',left,2.7449765,5048.953,6108.8823,-2.5563586,-1.4032044,17.89732,0.763457659,31.116953,29.347511,-0.226503823,30.647936,0.70420164,0.38644797,2.2711747,10.856374,3.7398026,2.479523115,295.12646,7.2126093,0.889668837,0.12546262,22.501532,1.3736949,30.585817
G and S cingul-Mid-Post,RL,right,2,9.828,-9.724,40.879,G_and_S_cingul-Mid-Post',right,2.756067,5033.4033,6163.0654,-2.8022814,-1.5495123,18.573088,0.695180198,30.547834,29.54055,-0.240083847,32.764526,0.91678494,0.30373275,3.0081742,10.75559,3.5246923,2.26911907,365.2009,7.4494605,0.619700659,0.13044348,20.866701,1.3198189,31.425608
G and S frontomargin,LPF,left,1,-24.026,53.836,-6.229,G_and_S_frontomargin',left,2.6004674,5177.7935,6759.471,5.779446,-0.1409293,19.306904,0.944861465,24.998922,35.389355,0.717257402,40.039917,1.3697181,0.5055411,2.5340078,10.406955,3.7605958,-0.181635377,652.985,7.116334,-0.271006355,0.05364816,17.907059,1.44684,33.262657
G and S frontomargin,RPF,right,1,22.974,55.986,-8.061,G_and_S_frontomargin',right,2.6522925,5092.6147,6655.4736,4.828023,-0.084908925,20.708124,0.966974633,25.131805,36.079617,0.753540102,46.044662,1.6681383,0.43608224,3.0957954,11.3348255,4.221376,-0.285359548,708.8946,7.068132,0.055525903,0.044894937,19.514685,1.4489,33.45258
G and S occipital inf,LO,left,3,-39.27,-81.242,-11.977,G_and_S_occipital_inf',left,2.5777278,5240.7,6369.424,-3.5401092,4.387871,12.118317,0.85406388,27.083162,28.162601,-0.252233295,34.384514,0.7347038,0.48345706,1.6050476,10.1601,3.9466763,-0.95764028,817.84296,7.0520644,-0.869120922,0.0639361,14.59213,1.2737978,8.360332
G and S occipital inf,RO,right,3,42.104,-76.432,-11.482,G_and_S_occipital_inf',right,2.616002,5209.4014,6239.885,-3.7195451,4.4978685,13.024929,1.09321423,27.811684,31.844645,0.112411587,39.47498,1.0089641,0.5126512,1.8729545,10.404061,4.535268,-0.890326591,809.28656,7.41876,-0.389612798,0.077160984,15.238449,1.2921298,11.0753565
G and S paracentral,LC,left,2,-7.879,-36.062,68.083,G_and_S_paracentral',left,2.4275315,5183.9033,6552.085,-5.2083836,-2.8037019,7.3293943,0.448952496,22.538223,20.739399,-1.112877919,24.578297,0.77643096,0.28474563,2.6807923,9.0310955,3.3842652,0.427354137,574.54425,7.305757,-1.044201437,0.21050546,17.9343,1.2319608,14.106357
G and S paracentral,RC,right,2,6.915,-34.854,68.429,G_and_S_paracentral',right,2.3617203,5269.42,6625.4854,-5.228658,-2.8229022,7.043847,0.468030025,21.783846,19.703781,-1.190375755,23.354994,0.7680877,0.3182033,2.9393194,9.877297,3.2760754,0.509021712,578.3614,7.203551,-1.271828116,0.24661411,17.988327,1.2101083,11.848185
G and S subcentral,LC,left,2,-56.559,-11.103,15.503,G_and_S_subcentral',left,2.7943196,5137.8574,6098.945,-4.344607,-2.0910678,12.533284,1.03952087,27.895296,34.724815,0.470520035,41.960075,1.5524665,0.51941955,3.5527866,10.292316,4.196542,0.828160217,594.1419,7.9558783,1.389372892,0.16653155,19.324099,1.4331102,25.778042
G and S subcentral,RC,right,2,56.534,-10.438,16.768,G_and_S_subcentral',right,2.7919712,5206.253,6164.442,-4.4616528,-2.1689882,14.365595,1.014939726,28.934574,31.452583,0.136380837,40.618843,1.564447,0.47332588,3.5405078,10.594671,4.3372536,0.958096166,575.85944,7.750096,1.278431074,0.18517832,20.070122,1.3988217,24.140612
G and S transv frontopol,LPF,left,1,-15.187,61.795,0.472,G_and_S_transv_frontopol',left,2.6163697,4946.4077,6530.843,6.0394015,-0.11358927,14.7643385,0.849347688,22.809889,36.702408,0.49138541,46.41765,1.5643395,0.42362756,3.0577648,10.323746,4.1166215,-0.429463346,665.12524,6.1090546,-0.223673979,-0.023945231,19.302843,1.4533224,28.93441
G and S transv frontopol,RPF,right,1,16.678,61.254,1.985,G_and_S_transv_frontopol',right,2.568157,5086.6167,6664.431,5.9243073,-0.08759237,17.016712,0.899695287,23.525291,39.02647,0.744319558,47.512325,1.6086506,0.4174239,3.035512,11.363306,4.369185,-0.525702797,664.7468,6.358985,0.272666575,-0.010788028,19.685549,1.4789659,30.663774
G cingul-Post-dorsal,LL,left,1,-5.101,-36.409,30.514,G_cingul-Post-dorsal',left,2.982966,5569.4717,7454.818,5.1639137,-0.094640166,21.680851,0.596111606,30.532005,31.834808,-0.307926484,30.181074,0.9092695,0.42690215,2.2313485,9.55928,3.667086,0.596788839,425.86963,8.165996,0.926038808,-0.010984764,17.171692,1.2441651,22.643486
G cingul-Post-dorsal,RL,right,1,5.363,-36.443,30.714,G_cingul-Post-dorsal',right,3.0239654,5711.017,7258.408,4.9102077,-0.06493162,22.306347,0.597819327,30.437063,33.38356,-0.244562395,32.652138,0.9682192,0.3860863,2.3113978,10.213624,3.541785,0.755820177,415.68796,8.20138,0.936336674,-0.008114152,16.943295,1.225814,24.478827
G cingul-Post-ventral,LL,left,1,-9.817,-46.978,5.625,G_cingul-Post-ventral',left,2.3823304,5129.453,6169.339,1.5586662,0.76245415,8.143465,0.00631901,26.3804,18.921589,-2.597842303,20.546568,0.9703375,-0.19716883,2.6950471,5.3125024,1.1620207,-2.2888808,312.5813,6.071671,-3.286718221,-0.28741503,10.887862,0.9058059,4.801376
G cingul-Post-ventral,RL,right,1,10.218,-49.055,7.38,G_cingul-Post-ventral',right,2.5190914,5045.642,6158.477,1.2652239,1.0664386,10.569948,0.20016838,26.936783,20.741535,-2.290768973,23.157785,1.1607149,-0.014333976,3.2814045,7.49034,1.7093692,-1.295094437,333.94183,6.4009213,-2.397631676,-0.2079969,12.356815,0.98667276,6.372394
