pos_genes,neg_genes
C6orf47,NEURL1B
ZFAT,GRP
MAPK13,CHRNA3
FGF13,FRMD3
WNT6,TBC1D26
POMT2,XKR4
FAM160B2,DHDH
POU2F2,PRKG1
DDX1,SLC27A2
NEK1,CXADR
VSIG10,RYR3
BTN3A3,ECHDC3
RPEL1,PBX4
RAB40A,PLPPR4
ABHD17B,TENM3
IDH3B,TKFC
SLC6A13,TTC23L
KCND3,LRRC56
TUBG2,WNT4
MRPL4,C8orf34
TAS2R10,PAFAH1B3
TMEM145,KCNG1
EDEM1,CCDC71L
NLRX1,ST20
BAAT,SERTM1
ZNF653,NUPR2
RALGAPB,NDN
MCOLN1,SREK1IP1
LOC100294145,RGS22
UCK2,ANKRD19P
DEF6,PPM1M
ASGR2,TOX3
EMILIN2,TCTN1
LOC105378663,SST
BCL7B,CXADRP3
FOXP2,IL13RA2
ENPP6,COCH
ABTB2,DLL3
MECOM,ACVR2A
GUSBP4,LRRTM1
NAAA,PTPRR
SPSB1,DIRAS3
CSDC2,SLC16A2
LRRK2,PTPRA
GPR4,NNAT
PCCA,SLC29A4
LOC100506476,PGAP1
IPO7,CPLX3
TRIM32,FKBP14
BOLA3-AS1,ZNF706
LOC105370333,LOC105373383
GIMAP6,RNASEH2A
ARL4D,WDR6
DOT1L,BTG3
RABEP2,RSPH9
TADA2A,SCN9A
RALGAPA1,RYR1
NEAT1,CABCOCO1
GPR85,MCM6
ST3GAL5,PCOLCE2
TARS,LRRC36
TEKT4,AK8
MRPL35,CNGB1
CNDP1,BCL2A1
DPP7,GPRIN1
UTP15,NRP2
HERC3,FBL
TMCC1,SSBP2
CDT1,TINCR
IL6R,SORBS2
H1F0,ADM5
GNB5,LRRIQ1
SHMT1,LINC00937
FAP,KLHDC8B
AEBP2,DNAL4
GK3P,PGM2L1
PNPO,TMED10
TAF5,B3GALNT1
MXI1,SMARCA1
FGF12,FARP1
OXR1,SOX4
MRPL58,ZCCHC12
ZNF415,ANKRD6
C7orf57,FAM71F1
NIFK-AS1,PCSK5
PRH2,NPNT
POU6F2,DNAJB5
